Código;Nombre;Fecha Inicio;Fecha Vencimiento;Fecha Finalización;Código cliente;Cliente;Estado;Código tipo;Tipo;Responsable;Delegación;Teléfono;Mail;Idioma;Se puede contactar o no
P20/00334;PANDORA - SPAIN, ECI 025, Linares, Plaza del Ayuntamiento s/n (P436);09/03/2020;;;10;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;953648400;ecilinares@pandora-spain.com;ESP;SI
P20/00298;PANDORA - SPAIN, ECI 025, Madrid, C/ Arapiles, 10 (P223);06/03/2020;;;5;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;914546006;resparea04_arapiles@elcorteingles.es;ESP;SI
P20/00332;PANDORA - SPAIN, ECI 025, Madrid, Ginzo de Lima, s/n (P434);09/03/2020;;;7;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;913874000;ecivaguada@pandora-spain.com;ESP;SI
P20/00330;PANDORA - SPAIN, ECI 025, Palma de Mallorca, Av. de Jaime III, 115 (P249);09/03/2020;;;8;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;971770177;;ESP;SI
P20/00338;PANDORA - SPAIN, ECI 025, Pamplona, C/ Estella, 9 (P439);09/03/2020;;;6;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;948202000;ecipamplona@pandora-spain.com;ESP;SI
P20/00346;PANDORA - SPAIN, ECI 025, Salamanca, C/ Maria Auxiliadora, 71-85 (P447);09/03/2020;;;1;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;923285550;ecisalamanca@pandora-spain.com;ESP;SI
P20/00348;PANDORA - SPAIN, ECI 025, Santiago de Compostela, Rua do Restollal, 50 (P449);09/03/2020;;;2;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;981527200;ecisantiago@pandora-spain.com;ESP;SI
P20/00351;PANDORA - SPAIN, ECI 025, Tarragona, Rambla President Lluís Companys, 7 (P502);09/03/2020;;;3;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;977297300;ecitarragona@pandora-spain.com;ESP;SI
P20/00354;PANDORA - SPAIN, ECI 025, Valladolid, Pº de Zorrilla, 130-132 (P505);09/03/2020;;;5;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;983231500;ecivalladolid@pandora-spain.com;ESP;SI
P20/00355;PANDORA - SPAIN, ECI 025, Vigo, Av. da Gran Vía (P506);09/03/2020;;;6;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;986415111;ecivigo@pandora-spain.com;ESP;SI
P20/00356;PANDORA - SPAIN, ECI 025, Vitoria, Bake Kalea, 2 (P507);09/03/2020;;;7;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;945266333;ecivitoria@pandora-spain.com;ESP;SI
P20/00358;PANDORA - SPAIN, ECI 025, Zaragoza, Ps de Sagasta, 3 (P509);09/03/2020;;;8;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;976211121;ecizaragoza@pandora-spain.com;ESP;SI
P21S/05344;PARFOIS - SPAIN - Barakaldo, CC Megapark Outlet Barakaldo, Av. de la Ribera, s/n (12603);17/09/2021;;;9; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Eduardo Conde - Optima Retail (EQ7);Principal;646933088;12603@stores.parfois.com, manager.12603@stores.parfois.com;ESP;SI
P21S/05279;PARFOIS - SPAIN - Ceuta. CC Parque Ceuta, Av. Teniente General Muslera (PF166613);27/08/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;687902357;16613@stores.parfois.com, manager.16613@stores.parfois.com;ESP;SI
P21S/05431;PARFOIS - SPAIN - Córdoba, Plaza. Nueva, 19, Lucena (3103);05/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Victor Ballester - Optima Retail (EQ5);Principal;606116544;3103@stores.parfois.com, manager.3103@stores.parfois.com;ESP;SI
P21S/05305;PARFOIS - SPAIN - Huesca, Huesca, C/ Coso Bajo, 11 (3200);07/09/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;620954402;3200@stores.parfois.com, manager.3200@stores.parfois.com;ESP;SI
P21S/05425;PARFOIS - SPAIN - Las Palmas, Aeropuerto Gran Canaria, Autopista General del Sur C-1 (13801);30/09/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Ariadna Toquero - Optima Retail (EQ7);Principal;636405972;13801@stores.parfois.com, manager.13801@stores.parfois.com;ESP;SI
P21S/05198;PARFOIS - SPAIN - Lasarte Oria, San Sebastián CC Urbil, C/Txiki-Erdi , 7 (1873) ;13/08/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;606900947;1873@stores.parfois.com, manager.1873@stores.parfois.com;ESP;SI
P21S/05430;PARFOIS - SPAIN - Madrid, CC Loranca, Av. de Pablo Iglesias,17 (1908);04/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Ariadna Toquero - Optima Retail (EQ7);Principal;636192344;1908@stores.parfois.com, manager.1908@stores.parfois.com;ESP;SI
P21S/05339;PARFOIS - SPAIN - Sevilla, CC Lagoh, Av. De Palmas Altas, s/n (16578);16/09/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Ariadna Toquero - Optima Retail (EQ7);Principal;637422990;16578@stores.parfois.com, manager.16578@stores.parfois.com;ESP;SI
P21S/05304;PARFOIS - SPAIN - Valencia, CC L' Epicentre, Av. Abogado Fausto Caruana s/n (3501);06/09/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;639457392;3501@stores.parfois.com, manager.3501@stores.parfois.com;ESP;SI
P21S/05844;PARFOIS - SPAIN , Bilbao, C/ Barrio Kareaga s/n - 1889;26/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;618172850;1889@stores.parfois.com, manager.1889@stores.parfois.com;ESP;SI
P21S/05858;PARFOIS - SPAIN , Valencia, ECI Nuevo Centro, Av. de Pio XII, 2 (16549);26/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;646268915;16549@stores.parfois.com, manager.16549@stores.parfois.com;ESP;SI
P21S/05099;PARFOIS - SPAIN ,Madrid, Calle Orense, C/ Orense 4 (16277);12/08/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;637401344;16277@stores.parfois.com;ESP;SI
P21S/05286;PARFOIS - SPAIN,  Barcelona, Rambla, Rambla de Cataluña, 31 (1836);31/08/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;638490894;1836@stores.parfois.com, manager.1836@stores.parfois.com;ESP;SI
P21S/05424;PARFOIS - SPAIN,  CADIZ Las Dunas, Ctra. Del Puerto de Santa María  (1874);30/09/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;628229432;1874@stores.parfois.com, manager.1874@stores.parfois.com;ESP;SI
P21S/05810;PARFOIS - SPAIN, A Coruña, CC Coruña Factory, Nacional 550, km 9,5 (4700);25/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;"620578120
";"4700@stores.parfois.com,manager.4700@stores.parfois.com
";ESP;SI
P21S/05687;PARFOIS - SPAIN, A Coruña, ECI Cuatro Caminos, C/ Calle Ramon y Cajal, 57 - 59 (7100);22/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;"628941032

";"7100@stores.parfois.com, manager.7100@stores.parfois.com

";ESP;SI
P21S/05637;PARFOIS - SPAIN, A Coruña, ECI Santiago, C/ de Restollal, 50 (1882);22/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;"628153506
";"1882@stores.parfois.com, manager.1882@stores.parfois.com

";ESP;SI
P21S/05257;PARFOIS - SPAIN, A Coruña, Santiago Comp. Teixeiro, C/ Doctor Teixeiro, 21 (1837);23/08/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;"628224463
";"1837@stores.parfois.com, manager.1837@stores.parfois.com
0
";ESP;SI
P21S/05456;PARFOIS - SPAIN, Albacete, Albacete, C/ Mayor, 31 (1883);07/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Ariadna Toquero - Optima Retail (EQ7);Principal;646269003;1883@stores.parfois.com, manager.1883@stores.parfois.com;ESP;SI
P21S/05849;PARFOIS - SPAIN, Albacete, CC Albacenter, C/ Alcalde Conangla, s/n (9100);26/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;+34 606508241;9100@stores.parfois.com, manager.9100@stores.parfois.com;ESP;SI
P21S/05801;PARFOIS - SPAIN, Albacete, ECI Albacete, Av. de España, 30-32 (1832);25/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;616574878;1832@stores.parfois.com, manager.1832@stores.parfois.com;ESP;SI
P19/00457;PARFOIS - SPAIN, Algeciras, ECI Algeciras, C/ Juan Pérez Arriete, s/n (3500);22/07/2019;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;608911545;3500@stores.parfois.com, manager.3500@stores.parfois.com;ESP;SI
P21S/05217;PARFOIS - SPAIN, Algeciras, Regino Martínez, C/ Regino Martínez, 26 (9900);16/08/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;626569066;9900@stores.parfois.com, manager.9900@stores.parfois.com;ESP;SI
P21S/05222;PARFOIS - SPAIN, Alicante, Aeropuerto Alicante (12700);16/08/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;"616199271
";"12700@stores.parfois.com, manager.12700@stores.parfois.com
";ESP;SI
P21S/05592;PARFOIS - SPAIN, Alicante, ECI Alicante, Av. Maisonave 53 (1842);22/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;"648694796

";"1842@stores.parfois.com, manager.1842@stores.parfois.com

";ESP;SI
P21S/05678;PARFOIS - SPAIN, Alicante, ECI Elche, Av. Alcalde Ramón Pastor, 2 A (11801);22/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;"648234512
";"11801@stores.parfois.com
manager.11801@stores.parfois.com

";ESP;SI
P21S/05837;PARFOIS - SPAIN, Alicante, Elche Calle Hospital, C/ Hospital 8 (9301);26/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;"626501534
";"9301@stores.parfois.com, manager.9301@stores.parfois.com
";ESP;SI
P21S/05432;PARFOIS - SPAIN, Alicante, Elche CC Aljub, C/ Jacariila, 7 (1806);05/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Ariadna Toquero - Optima Retail (EQ7);Principal;"628228254
";"1806@stores.parfois.com, manager.1806@stores.parfois.com
";ESP;SI
P21S/05872;PARFOIS - SPAIN, Alicante, Elda, C/ Juan Carlos I, 13 (16319);26/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;"637407996
";"16319@stores.parfois.com, manager.16319@stores.parfois.com

";ESP;SI
P21S/05227;PARFOIS - SPAIN, Alicante, Maisonave, C/ Maisonave, 23 (1783);17/08/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;"619125233
";"1783@stores.parfois.com, manager.1783@stores.parfois.com

";ESP;SI
P21S/05873;PARFOIS - SPAIN, Alicante, Orihuela CC Ociopia, C/ Obispo Victorio Oliver, 2 (16589);26/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;"637550508
";"16589@stores.parfois.com, manager.16589@stores.parfois.com

";ESP;SI
P21S/05615;PARFOIS - SPAIN, Alicante, Sant Vicente del Raspeig  CC Outlet, C/ de Alicante, 94 (3900);22/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;"626355601
";"3900@stores.parfois.com, manager.3900@stores.parfois.com

";ESP;SI
P21S/05871;PARFOIS - SPAIN, Alicante, Villena Joaquin Maria López, Plaza Joaquin Maria Lopez, 21 (16454);26/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;"647420005
";"16454@stores.parfois.com, manager.16454@stores.parfois.com

";ESP;SI
P21S/05282;PARFOIS - SPAIN, Alicante. CC Gran Vía, C/ Jose García Selles 2 (1793);30/08/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;"648694801
";"1793@stores.parfois.com, manager.1793@stores.parfois.com

";ESP;SI
P21S/05364;PARFOIS - SPAIN, Almería, CC Mediterráneo, Av. del Mediterráneo, s/n (1812);27/09/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;648234538;1812@stores.parfois.com, manager.1812@stores.parfois.com;ESP;SI
P21S/05684;PARFOIS - SPAIN, Almería, ECI Ejido, Paseo Pedro Ponce, s/n (16299);22/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;637401344;16299@stores.parfois.com, manager.16299@stores.parfois.com;ESP;SI
P21S/05427;PARFOIS - SPAIN, Almeria, Roquetas de Mar CC Gran Plaza, Av. de Alicún, s/n (1827);04/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;648234575;1827@stores.parfois.com, manager.1827@stores.parfois.com;ESP;SI
P21S/05842;PARFOIS - SPAIN, Ávila, Ávila, C/ Don Gerónimo, 5 (16507);26/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;647431648;16507@stores.parfois.com, manager.16507@stores.parfois.com;ESP;SI
P21S/05593;PARFOIS - SPAIN, Badajoz, CC Faro Guadiana, Av. de Elvas s/n (11000);22/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;616394222;11000@stores.parfois.com, manager.11000@stores.parfois.com;ESP;SI
P21S/05515;PARFOIS - SPAIN, Badajoz, Don Benito, C/ Groizard 11 (12600);13/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Ariadna Toquero - Optima Retail (EQ7);Principal;616819256;12600@stores.parfois.com, manager.12600@stores.parfois.com;ESP;SI
P21S/05701;PARFOIS - SPAIN, Badajoz, ECI Badajoz, Plaza de Conquistadores, s/n (16242);22/10/2021;;;10; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;;16242@stores.parfois.com, manager.16242@stores.parfois.com;ESP;SI
P21S/05352;PARFOIS - SPAIN, Badajoz, Mérida, C/ Santa Eulalia 42 (13500);21/09/2021;;;9; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Ariadna Toquero - Optima Retail (EQ7);Principal;638494670;13500@stores.parfois.com, manager.13500@stores.parfois.com;ESP;SI
P21S/05981;PARFOIS - SPAIN, Barakaldo, Bilbao CC Max Center, C/ Barrio Kareaga, s/n (1889);15/11/2021;;;8; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;618172850;1889@stores.parfois.com, manager.1889@stores.parfois.com;ESP;SI
P21S/05300;PARFOIS - SPAIN, Barcelona ,CC Maquinista, C/ Potosí, 2 (1791);03/09/2021;;;9; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;"628232933
";"1791@stores.parfois.com, manager.1791@stores.parfois.com

";ESP;SI
P21S/05084;PARFOIS - SPAIN, Barcelona,  Av. Diagonal, Av. Diagonal, 536 (12602);09/08/2021;;;8; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;"638578327
";"12602@stores.parfois.com, manager.12602@stores.parfois.com

";ESP;SI
P21S/05863;PARFOIS - SPAIN, Barcelona,  ECI Diagonal, Av. Diagonal, 617 (16317);26/10/2021;;;9; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;"637476149
";"16317@stores.parfois.com, manager.16317@stores.parfois.com

";ESP;SI
P21S/05570;PARFOIS - SPAIN, Barcelona, Aeropuerto Barcelona (16000);22/10/2021;;;8; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;"690925740
";"16000@stores.parfois.com, manager.16000@stores.parfois.com

";ESP;SI
P21S/05093;PARFOIS - SPAIN, Barcelona, Badalona Calle del Mar, C/ del Mar, 21 (4300);11/08/2021;;;2; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;"638775500
";"4300@stores.parfois.com, manager.4300@stores.parfois.com

";ESP;SI
P21S/05868;PARFOIS - SPAIN, Barcelona, Badalona CC Montigalá, Passeig Olof Palme, 28-36 (16382);26/10/2021;;;5; PARFOIS - Dismoda -comercio Y Distribucion Sl  ;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;"637449387
";"16382@stores.parfois.com, manager.16382@stores.parfois.com

";ESP;SI
